user_id,isbn,rating
1,9780002005883,5
2,9780002005883,5
1,9780002261982,3
2,9780002261982,3
1,9780006178736,3
2,9780006178736,4
1,9780006280897,4
2,9780006280897,3
1,9780006280934,4
2,9780006280934,3
1,9780006380832,5
2,9780006380832,3
1,9780006470229,3
2,9780006470229,3
1,9780006472612,4
2,9780006472612,3
1,9780006482079,5
2,9780006482079,4
1,9780006483014,3
2,9780006483014,5
1,9780006483892,5
2,9780006483892,4
1,9780006483908,4
2,9780006483908,3
1,9780006486145,4
2,9780006486145,4
1,9780006490456,3
2,9780006490456,5
1,9780006496434,3
2,9780006496434,4
1,9780006496878,3
2,9780006496878,5
1,9780006496892,4
2,9780006496892,5
1,9780006496922,4
2,9780006496922,4
1,9780006498865,3
2,9780006498865,5
1,9780006499169,3
2,9780006499169,5
1,9780006499268,5
2,9780006499268,5
1,9780006499626,5
2,9780006499626,4
1,9780006511489,4
2,9780006511489,3
1,9780006512677,3
2,9780006512677,3
1,9780006513087,3
2,9780006513087,4
1,9780006514640,3
2,9780006514640,3
1,9780006514855,5
2,9780006514855,5
1,9780006545866,4
2,9780006545866,4
1,9780006551393,5
2,9780006551393,3
1,9780006551812,4
2,9780006551812,3
1,9780006646006,3
2,9780006646006,4
1,9780007105045,3
2,9780007105045,3
1,9780007111503,3
2,9780007111503,5
1,9780007113804,5
2,9780007113804,4
1,9780007116263,5
2,9780007116263,3
1,9780007117536,5
2,9780007117536,4
1,9780007119332,4
2,9780007119332,3
1,9780007119356,3
2,9780007119356,4
1,9780007120680,4
2,9780007120680,3
1,9780007120697,4
2,9780007120697,5
1,9780007120819,3
2,9780007120819,3
1,9780007120864,5
2,9780007120864,3
1,9780007120871,5
2,9780007120871,4
1,9780007120963,5
2,9780007120963,4
1,9780007120987,3
2,9780007120987,5
1,9780007121007,4
2,9780007121007,4
1,9780007121014,3
2,9780007121014,3
1,9780007121021,3
2,9780007121021,3
1,9780007121106,3
2,9780007121106,3
1,9780007124015,4
2,9780007124015,5
1,9780007126903,5
2,9780007126903,4
1,9780007129652,5
2,9780007129652,5
1,9780007130313,5
2,9780007130313,4
1,9780007135653,5
2,9780007135653,5
1,9780007136582,5
2,9780007136582,4
1,9780007136599,5
2,9780007136599,4
1,9780007137336,3
2,9780007137336,3
1,9780007149124,5
2,9780007149124,3
1,9780007149827,5
2,9780007149827,4
1,9780007151240,5
2,9780007151240,4
1,9780007151677,5
2,9780007151677,5
1,9780007153589,5
2,9780007153589,5
1,9780007154845,4
2,9780007154845,5
1,9780007154883,3
2,9780007154883,5
1,9780007158058,3
2,9780007158058,4
